plot_id,N_rate_kg_ha,day,soil_mineral_N_mg_kg,plant_N_g_m2,biomass_g_m2,temperature_C,soil_water_rel
N0_R1,0,0,21.945445718757625,1.7385030786826998,36.23136170173496,24.75895471620815,0.7728891757681075
N0_R1,0,7,24.234365976386755,1.9406634047924984,36.17900750205056,26.65295154813873,0.8148035426621035
N0_R1,0,14,28.82067628627709,1.7550532624942452,37.29272025930322,26.731737071346586,0.8658790353503121
N0_R1,0,21,32.206493063629324,1.9165491760130586,40.11247947968962,27.126341162188577,0.8766814589761499
N0_R1,0,28,34.77769065323669,2.2737329222014866,50.06103862888442,27.470911521793834,0.81741652424369
N0_R1,0,35,38.34047028082714,2.2353231477450715,50.97246881721931,26.90995047895661,0.74921805115326
N0_R1,0,42,44.08071932433206,2.327729253549097,57.99248906462835,26.16660251222787,0.7123841420875403
N0_R1,0,49,48.0870169601923,2.6950803352070283,60.74330976144445,25.267286810107226,0.7025906202410185
N0_R1,0,56,52.11007726135606,3.0272663099753276,65.85257826571564,24.06703809454567,0.7742211605549336
N0_R1,0,63,54.98464213500939,3.1071541095018773,68.06464809074951,23.241548950210326,0.7497024459499434
N0_R1,0,70,57.665102074440846,3.298085265726166,73.18316489882524,22.1506165651886,0.8376773772825332
N0_R1,0,77,60.87587706863431,3.51734053694918,80.47838842718576,22.639867331410365,0.857156934860407
N0_R1,0,84,65.45053168114477,3.6984913730908566,83.5533184465065,22.863650473563343,0.8762564649893305
N0_R2,0,0,23.08781191695311,2.0863198542256542,35.47531738417377,24.943440387595484,0.7404392374461182
N0_R2,0,7,27.742933646663705,2.189747662577415,38.25997069186799,26.29521057308015,0.8583854678116755
N0_R2,0,14,31.762100985189853,2.2673328627379963,40.392565365378694,26.810307037061342,0.8137496350358011
N0_R2,0,21,37.049451878875395,2.1323818151161644,46.364738347409016,27.204616075168207,0.9317324617860201
N0_R2,0,28,40.32141502422661,2.167968478590143,51.02219506787318,28.09570364764283,0.8431078572086773
N0_R2,0,35,43.85253014928807,2.1651144805246063,63.20094156748172,27.159591585250197,0.7547553751231564
N0_R2,0,42,48.464133926343706,2.2370980871283974,69.73115036941175,26.433485818841866,0.6710322224878508
N0_R2,0,49,51.550232554219605,2.4914498359861685,69.39117921909717,24.950558614515987,0.6503954153607882
N0_R2,0,56,54.814460710491716,2.6733582407500203,73.23017355928692,24.579280479173555,0.7352972195104204
N0_R2,0,63,57.61648915731719,2.9008573240293574,78.8323364071728,23.3810084396651,0.7597161778953301
N0_R2,0,70,60.50733698495098,3.3261077720066456,77.17638397003375,22.525313053576266,0.7884563051874579
N0_R2,0,77,64.38428184760315,3.4186842346422153,83.41674051068168,22.32277214882549,0.8369716952862312
N0_R2,0,84,67.6866862691714,3.700454885613023,87.43175428530775,22.568491502157677,0.8495538892425685
N0_R3,0,0,13.51348251525558,2.4219371312763007,32.45051591134456,24.782523315696228,0.7998932445792376
N0_R3,0,7,17.947269752000622,2.516335075791681,37.93976628487927,26.014820419776008,0.8558784522870531
N0_R3,0,14,22.94222364351527,2.639000926869863,46.83169254244917,27.31867586968215,0.8674456351465984
N0_R3,0,21,26.887522171647486,2.6574482087486038,54.83365242443109,27.578083131072496,0.838128721873419
N0_R3,0,28,31.058054499964438,2.8983029317620916,56.180988890919515,27.70859969284395,0.8196015493185769
N0_R3,0,35,34.01648157774575,3.0285978341746382,55.15221252773575,26.771468257457737,0.743786241776693
N0_R3,0,42,36.464308618241475,3.025129488895738,56.05189966231728,26.19980619062472,0.6989046879813935
N0_R3,0,49,38.93827718835199,3.0538157674807667,63.78866442317933,24.75449075781717,0.7048553626111252
N0_R3,0,56,42.306156636700344,3.29056913250162,67.50112877120014,24.315939214563695,0.7424013536914219
N0_R3,0,63,46.122009411093096,3.4806753481161374,76.94411430725954,23.144569131705634,0.7918727730900774
N0_R3,0,70,49.3337211912092,3.804998261143763,76.67724399753544,22.965166453250504,0.8366099526001192
N0_R3,0,77,52.68350178267197,4.3182144552377615,81.05794925057873,22.026251987183223,0.8660765760542359
N0_R3,0,84,56.24452594171898,4.449560737713266,87.47408207152193,23.027607978340242,0.8868125433519976
N80_R1,80,0,76.19080168179227,1.9469390111220184,34.91949354235197,25.261336264719194,0.7557564219970918
N80_R1,80,7,79.52661631829123,1.9758697112668269,33.57671271884067,26.350537853567307,0.8526075668517359
N80_R1,80,14,83.23630928299092,1.9495926968656285,35.422769974193606,26.464397323608065,0.8188831215859405
N80_R1,80,21,87.96942969932249,2.066955718504473,40.49592945639012,27.92808404419821,0.8417704607580047
N80_R1,80,28,92.93821696058109,2.228779238146042,41.528573168914235,27.13842854145105,0.8280708878085609
N80_R1,80,35,97.09857770323619,2.3710669185388835,45.26421402359054,26.755751434461704,0.7326928784359998
N80_R1,80,42,101.00261886165733,2.3375431165944636,45.79224048173588,26.361555297013584,0.7038359099396964
N80_R1,80,49,105.032160977404,2.6754093457059684,48.9469875613151,25.326547635169845,0.7200962934397839
N80_R1,80,56,108.9235734672573,2.7694108217097817,52.68409481935094,24.360979768431683,0.7442076235886855
N80_R1,80,63,113.25361343795021,2.810766687876647,53.78986824608435,23.118831689030607,0.7932383614252262
N80_R1,80,70,116.29686432142628,3.113648056441449,53.83882000022777,22.729174385611437,0.8280755324880699
N80_R1,80,77,118.74704786125268,3.402125285913619,61.35259865193214,22.273853446478057,0.88676498354323
N80_R1,80,84,121.83857480128587,3.4958378983046976,67.9318549851422,22.70103142786638,0.8420149857438698
N80_R2,80,0,69.42637629002397,2.0230156164012985,37.43460156585062,24.911125788265124,0.7543019589353802
N80_R2,80,7,74.21872872336616,1.9707922735078847,35.176129056395155,25.74801641561468,0.7803464816540853
N80_R2,80,14,79.10873933439147,2.0463941458236783,41.40567595914779,26.952945504531726,0.8573282514881815
N80_R2,80,21,83.99420542017472,2.2551374182139274,48.07613489565567,27.36213917921354,0.8230552838094553
N80_R2,80,28,88.11525929141703,2.6657459826816394,55.68675849160575,27.388367042215812,0.7925921707995248
N80_R2,80,35,91.7948160271503,2.7005393833202196,59.429505077133925,27.062318690138607,0.7390940338066444
N80_R2,80,42,94.4731570461333,2.892459658035914,62.619692487449946,26.13763035543734,0.6671170908557196
N80_R2,80,49,97.00182026474101,2.981776635712067,61.02428950379049,25.244828575653152,0.6610255426031734
N80_R2,80,56,100.7487338284275,3.04296483316157,64.63856984746594,24.20207603705744,0.7687489211105344
N80_R2,80,63,102.98429636118867,3.267304231426298,67.08364903283703,23.621653170642094,0.7748856834526768
N80_R2,80,70,106.51271605532179,3.5387492218455923,71.48999896971793,22.760395769942928,0.8331756083486732
N80_R2,80,77,110.64883006598394,3.6018402789244317,79.40207360130647,22.58177326315865,0.8543276567421882
N80_R2,80,84,114.55152627736209,3.8971023498439883,83.91580057864665,23.04816293660067,0.8441072128995668
N80_R3,80,0,70.93344744544618,2.2142565682721127,34.248099426762806,25.77379931307702,0.7687751887761843
N80_R3,80,7,76.0442468428422,2.260732300027589,39.15789000313446,26.36495639372443,0.8740089853034787
