plot_id,genotype,water_regime,day,biomass_g_m2,temperature_C,PAR_MJ_m2_d,soil_water_rel,nitrogen_rel
G1_We_1,G1,Well-watered,0,42.063740549514,21.674384080214505,16.273378786414547,0.8922006465433435,0.9356728409203391
G1_We_1,G1,Well-watered,7,343.4175052970489,22.269509148192036,16.808039546195534,0.9274194777427587,0.9308575442928138
G1_We_1,G1,Well-watered,14,652.7958693657642,24.57467023684662,16.482991767325007,0.966729234593211,0.8723719705934032
G1_We_1,G1,Well-watered,21,932.3046624689753,25.724704682312645,16.082526455883514,0.9377536824971061,0.889991115724242
G1_We_1,G1,Well-watered,28,1154.7708056991794,26.365522651280347,14.10036920203018,0.9706393103806283,0.865094568236
G1_We_1,G1,Well-watered,35,1309.884073377972,26.70373924314462,12.441021937093126,0.9161570044354317,0.8291511676751911
G1_We_1,G1,Well-watered,42,1452.190876317299,25.74737781977431,12.809080042054168,0.8921624448276297,0.8215924064470698
G1_We_1,G1,Well-watered,49,1587.4871108457378,24.61965221904505,13.448261090688089,0.871721214276532,0.8095824792946444
G1_We_1,G1,Well-watered,56,1693.02039536875,22.110441218522656,15.40221162344249,0.8567197410155386,0.7765623608986856
G1_We_1,G1,Well-watered,63,1788.507048585414,21.160255854957267,16.514314899025035,0.8009662805957701,0.788398573353635
G1_We_1,G1,Well-watered,70,1862.2596392826295,20.447715630629403,17.623192228978667,0.7897979110747647,0.7453243480427983
G1_We_1,G1,Well-watered,77,1985.660118360825,21.984338003050556,16.722654952935304,0.9054080065708674,0.7493657345762048
G1_We_1,G1,Well-watered,84,2110.7700813272895,24.021018058525478,15.190276367090195,0.9447505549337455,0.7102083080773872
G1_We_1,G1,Well-watered,91,2198.7293746297655,25.856608077421377,13.290828758928406,0.9470783071863613,0.7161495139199235
G1_We_1,G1,Well-watered,98,2275.455028590416,27.55759413429661,12.825014164706733,0.9635084327123705,0.696654241090621
G1_We_2,G1,Well-watered,0,42.07014248391568,20.81067377475426,16.13400985666703,0.8523086426353343,0.9255410989855384
G1_We_2,G1,Well-watered,7,359.0459107802329,22.290163264213707,17.142521629643806,0.9411623322375757,0.8789800633214832
G1_We_2,G1,Well-watered,14,648.4988445042825,23.24189441580239,16.923165817385343,0.9338971986760427,0.9033003355438375
G1_We_2,G1,Well-watered,21,927.6669448267253,25.56410691442166,16.185688683183038,0.9473322517331995,0.890916004530849
G1_We_2,G1,Well-watered,28,1144.3820151798723,26.759049489611066,14.452931947054118,0.9445709303612492,0.8598683899583693
G1_We_2,G1,Well-watered,35,1299.130566038657,26.9142233900222,12.605244721506061,0.8920933315104844,0.8298239329800845
