plant_id,water_treatment,hour,PAR_umol_m2_s,VPD_kPa,leaf_temperature_C,soil_water_rel,A_umol_CO2_m2_s,gs_mol_H2O_m2_s
Control_P1,Control,6.0,0.0,0.3,21.790557640149693,0.8609596826335406,0.0,0.01
Control_P1,Control,6.5,234.94714599609284,0.3,23.20537992658357,0.8705455552378776,8.732036630394784,0.17743301016912785
Control_P1,Control,7.0,465.8742811845373,0.4823619097949585,24.30663849504203,0.8643766959393497,13.776435196893967,0.22919811922608285
Control_P1,Control,7.5,688.8301782571616,0.7389476155598969,25.5364485914689,0.8667605180911546,17.91139714237298,0.2979432947522299
Control_P1,Control,8.0,899.9999999999999,1.0,26.75402311197142,0.8397290801001236,19.572376481749078,0.3323114438726316
Control_P1,Control,8.5,1095.7705722156973,1.2610523844401031,27.364052233456018,0.8849898063731264,21.644198555336835,0.39847256467909375
Control_P1,Control,9.0,1272.7922061357854,1.5176380902050415,28.213944125219268,0.894232757880944,21.87686109833036,0.4322483219407868
Control_P1,Control,9.5,1428.0360125242232,1.7653668647301797,28.869929054120604,0.820899150108155,21.828425192173558,0.3523052813991974
Control_P1,Control,10.0,1558.8457268119894,2.0,29.683570695155638,0.859913860138993,22.66029664442791,0.34713572552714145
Control_P1,Control,10.5,1662.9831585203162,2.2175228580174413,30.931542934975738,0.8814328041806776,22.982423896021793,0.3589798670819196
Control_P1,Control,11.0,1738.6664873203229,2.414213562373095,30.73037011122389,0.8452676312304278,20.993992582826774,0.33594958815815373
Control_P1,Control,11.5,1784.6007504728586,2.5867066805824703,30.923816857515376,0.8364370616100492,18.820753704185996,0.2724561591287549
Control_P1,Control,12.0,1800.0,2.732050807568877,31.062125660143867,0.9080976497191632,19.56132863103092,0.31804061142550777
Control_P1,Control,12.5,1784.6007504728586,2.8477590650225735,30.832597390684825,0.884196596261809,20.453978041945756,0.28877536099260853
Control_P1,Control,13.0,1738.6664873203229,2.9318516525781364,30.522303990142188,0.8387299954865185,17.29129093032636,0.22328472966680338
Control_P1,Control,13.5,1662.9831585203162,2.982889722747621,30.262949755699598,0.856765283081612,18.100278467591757,0.2802800407402287
