day,depth_cm,theta_cm3_cm3,rain_mm_d,ET0_mm_d
0.0,10.0,0.32505671597109526,0.005128748799778239,3.2
0.0,20.0,0.2979586656869687,0.005128748799778239,3.2
0.0,30.0,0.27289058099162017,0.005128748799778239,3.2
0.0,40.0,0.25649104369720954,0.005128748799778239,3.2
0.0,60.0,0.23074936826299766,0.005128748799778239,3.2
0.5,10.0,0.3651577015972965,2.3386069494910706,3.274221187776357
0.5,20.0,0.3292327537848334,2.3386069494910706,3.274221187776357
0.5,30.0,0.298484050989212,2.3386069494910706,3.274221187776357
0.5,40.0,0.270950090388588,2.3386069494910706,3.274221187776357
0.5,60.0,0.23955893275223175,2.3386069494910706,3.274221187776357
1.0,10.0,0.3905656235513479,18.0,3.343827661581261
1.0,20.0,0.35945610985783044,18.0,3.343827661581261
1.0,30.0,0.32316918172315695,18.0,3.343827661581261
1.0,40.0,0.29709679760927893,18.0,3.343827661581261
1.0,60.0,0.26470425371836165,18.0,3.343827661581261
1.5,10.0,0.389026880396252,2.3386069494910706,3.4044916280070003
1.5,20.0,0.3649701758741463,2.3386069494910706,3.4044916280070003
1.5,30.0,0.34269989423541286,2.3386069494910706,3.4044916280070003
1.5,40.0,0.32015047489863324,2.3386069494910706,3.4044916280070003
1.5,60.0,0.2808843830847001,2.3386069494910706,3.4044916280070003
2.0,10.0,0.35656862963265107,0.0051287487997810225,3.452441295442369
2.0,20.0,0.34358669132139885,0.0051287487997810225,3.452441295442369
2.0,30.0,0.3345024339517144,0.0051287487997810225,3.452441295442369
2.0,40.0,0.3177860639574079,0.0051287487997810225,3.452441295442369
2.0,60.0,0.2888164733374255,0.0051287487997810225,3.452441295442369
2.5,10.0,0.31890983534741535,1.9002735735656046e-07,3.484695385806676
2.5,20.0,0.31194034523092967,1.9002735735656046e-07,3.484695385806676
2.5,30.0,0.3028143323912427,1.9002735735656046e-07,3.484695385806676
2.5,40.0,0.29602303926129675,1.9002735735656046e-07,3.484695385806676
2.5,60.0,0.2843830410787764,1.9002735735656046e-07,3.484695385806676
3.0,10.0,0.3037124656030965,1.3504222152703062e-06,3.4992484959812167
3.0,20.0,0.28961081111087184,1.3504222152703062e-06,3.4992484959812167
3.0,30.0,0.2729150453091604,1.3504222152703062e-06,3.4992484959812167
3.0,40.0,0.27104229350423614,1.3504222152703062e-06,3.4992484959812167
3.0,60.0,0.2625936181194479,1.3504222152703062e-06,3.4992484959812167
3.5,10.0,0.31174595721820814,0.0014809176490401547,3.4951957840621812
3.5,20.0,0.2826136405204166,0.0014809176490401547,3.4951957840621812
3.5,30.0,0.27346505000166266,0.0014809176490401547,3.4951957840621812
3.5,40.0,0.261508222463623,0.0014809176490401547,3.4951957840621812
3.5,60.0,0.24595806642919738,0.0014809176490401547,3.4951957840621812
4.0,10.0,0.32556261868795233,0.21978766666481014,3.472789228047705
4.0,20.0,0.30051576885757425,0.21978766666481014,3.472789228047705
4.0,30.0,0.28244978089448947,0.21978766666481014,3.472789228047705
4.0,40.0,0.2661363666176139,0.21978766666481014,3.472789228047705
