file,rows,sha256
agronomy_growth.csv,96,56a9c5b29560463f9a57aba2403199a3a2663af5211e3c1e766935b376a721cb
okra_growth_means.csv,10,5f997684b1d16b98d78c5ecd4abbf4df6304df13e45f8a6164607084916339cd
okra_growth_raw.csv,530,0b20df75940afd7155ab6ca797d6d505a4242029442cd89e827456fe9bf89502
plant_physiology_light.csv,162,94001e72ee4bf4c8f45501b7d523add4863d3cc1e85826de6be28042f534878e
sciml_crop_growth.csv,180,21153293d95b7297285310fd80335273403ecf6ac604973451f7f2867064f715
sciml_fertility_dynamic.csv,117,c267c16a47604f83e2d19f785229e156fd78200856537f74b5e29697ccab2c38
sciml_fruit_growth.csv,132,32384a14698e575c8a6bb1a36b39ac0afa2f74ba5c056d64cca3b624661987d9
sciml_irrigation_horizon.csv,15,5febd239c0f99d110c66c92115f1bf2a875d864ad2bff9d539c17e35fa42dd94
sciml_physiology_dynamic.csv,200,369fbe89b551958871410906e9453e8072c8233e90c49a0fb6f1a0075b85dadb
sciml_soil_water.csv,105,f2f183180afc956e1864d7015891b64a816ceab494a1082f7eb761d90d446045
soil_fertility_p.csv,84,cb106a3708fc84246ee3f41daaf6a512edf3c95190c6b90987e20e083fb6b6ae
soil_infiltration.csv,150,e9c043bd2f542b9697e05c603258790498a35fa050cfc0c552e18d38cf81c652
soil_p_sorption.csv,108,d1f005bd177b3394ae421cd73f1ae91c82cb695d709d67a6a5b2b5f05d7e2d72
soil_water_retention.csv,135,e871f950f828fa41304f0eba3a1f02cf6c8f1e03472a3dff01ce0d78c5ca99a8
